Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR
172,Leon Balogun\Leon-Balogun,ng NGA,DF,Brighton,eng Premier League,30,1988,8,5,594,1,0,0,0,2,0
173,Mario Balotelli\Mario-Balotelli,it ITA,FW,Nice,fr Ligue 1,27,1990,10,9,752,0,1,0,0,5,0
174,Mario Balotelli\Mario-Balotelli,it ITA,FW,Marseille,fr Ligue 1,27,1990,15,12,933,8,0,0,0,5,1
175,Abdoulaye Bamba\Abdoulaye-Bamba,ci CIV,DF,Angers,fr Ligue 1,28,1990,30,29,2573,0,4,0,0,6,0
176,Jonathan Bamba\Jonathan-Bamba,fr FRA,FWMF,Lille,fr Ligue 1,22,1996,38,35,3004,13,3,1,1,4,0
177,Sol Bamba\Sol-Bamba,ci CIV,DF,Cardiff City,eng Premier League,33,1985,28,28,2474,4,1,0,0,7,0
178,Yacine Bammou\Yacine-Bammou,ma MAR,FWMF,Caen,fr Ligue 1,26,1991,17,9,923,2,0,1,1,2,0
179,Éver Banega\Ever-Banega,ar ARG,MF,Sevilla,es La Liga,30,1988,32,32,2667,3,5,2,2,17,2
180,Mattia Bani\Mattia-Bani,it ITA,DF,Chievo,it Serie A,24,1993,30,29,2610,0,0,0,0,8,1
181,Léo Baptistão\Leo-Baptistao,br BRA,FWMF,Espanyol,es La Liga,25,1992,20,14,1233,2,2,1,1,3,0
182,Antonín Barák\Antonin-Barak,cz CZE,MFFW,Udinese,it Serie A,23,1994,8,4,329,0,0,0,0,0,0
183,Federico Barba\Federico-Barba,it ITA,DF,Chievo,it Serie A,24,1993,30,29,2483,0,0,0,0,6,2
184,Danilo Barbosa\Danilo-Barbosa,br BRA,MF,Nice,fr Ligue 1,22,1996,22,18,1548,0,0,0,0,1,1
185,Enis Bardhi\Enis-Bardhi,mk MKD,MF,Levante,es La Liga,23,1995,36,31,2836,3,4,0,0,6,0
186,Francesco Bardi\Francesco-Bardi,it ITA,GK,Frosinone,it Serie A,26,1992,3,3,270,0,0,0,0,0,0
187,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,eng Premier League,33,1985,19,19,1670,0,0,0,0,9,0
188,Nicolò Barella\Nicolo-Barella,it ITA,MFFW,Cagliari,it Serie A,21,1997,35,35,3107,1,3,0,1,10,2
189,Philipp Bargfrede\Philipp-Bargfrede,de GER,MFDF,Werder Bremen,de Bundesliga,29,1989,15,13,1079,0,0,0,0,6,0
190,Antonino Barillà\Antonino-Barilla,it ITA,MF,Parma,it Serie A,30,1988,31,30,2618,3,2,0,0,10,0
191,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,eng Premier League,24,1993,27,13,1245,3,5,0,0,1,0
192,Aymen Barkok\Aymen-Barkok,de GER,MF,Düsseldorf,de Bundesliga,20,1998,12,4,510,0,0,0,0,0,0
193,Ashley Barnes\Ashley-Barnes,at AUT,FW,Burnley,eng Premier League,28,1989,37,26,2388,12,2,2,2,8,0
194,Harvey Barnes\Harvey-Barnes,eng ENG,FWMF,Leicester City,eng Premier League,20,1997,16,11,1004,1,2,0,0,0,0
195,Antonio Barragán\Antonio-Barragan,es ESP,DFMF,Betis,es La Liga,31,1987,14,12,934,0,0,0,0,4,0
196,Antonio Barreca\Antonio-Barreca,it ITA,DF,Newcastle Utd,eng Premier League,23,1995,1,0,5,0,0,0,0,0,0
197,Antonio Barreca\Antonio-Barreca,it ITA,DF,Monaco,fr Ligue 1,23,1995,7,7,593,0,1,0,0,0,0
198,Leandro Barreiro Martins\Leandro-Barreiro-Martins,lu LUX,MF,Mainz 05,de Bundesliga,18,2000,1,1,90,0,0,0,0,1,0
199,Ander Barrenetxea\Ander-Barrenetxea,es ESP,FWMF,Real Sociedad,es La Liga,16,2001,9,5,399,1,0,0,0,0,0
200,Édgar Barreto\Edgar-Barreto,py PAR,MF,Sampdoria,it Serie A,34,1984,12,9,785,0,2,0,0,2,0
201,Musa Barrow\Musa-Barrow,gm GAM,FWMF,Atalanta,it Serie A,19,1998,22,6,601,1,2,0,0,0,0
202,Fin Bartels\Fin-Bartels,de GER,FW,Werder Bremen,de Bundesliga,31,1987,2,0,23,0,0,0,0,0,0
